zpid,street,zipcode,city,state,latitude,longitude,amount,lowAmount,highAmount,percentile,elemSchool,midSchool
111710852 16 Jessie St APT 105 94105 San Francisco CA   756872 681185 870403 27 Webster Elementary  
111710853 16 Jessie St APT 106 94105 San Francisco CA   754641 664084 867837 27 Webster Elementary  
111710854 16 Jessie St APT 107 94105 San Francisco CA   656379 577614 754836 13 Webster Elementary  
111710855 16 Jessie St APT 108 94105 San Francisco CA   805500 749115 902160 32 Webster Elementary  
111710856 16 Jessie St APT 109 94105 San Francisco CA   904916 796326 986358 42 Webster Elementary  
111710857 16 Jessie St APT 110 94105 San Francisco CA   688517 578354 805565 16 Webster Elementary  
111710858 16 Jessie St APT 112 94105 San Francisco CA   1075113 946099 1204127 56 Webster Elementary  
111710859 16 Jessie St APT 113 94105 San Francisco CA   921767 820373 1023161 44 Webster Elementary  
111710874 16 Jessie St APT 305 94105 San Francisco CA   1050358 913811 1228919 54 Webster Elementary  
111710894 301 Mission St UNIT 3A 94105 San Francisco CA   1626416 1366189 1870378 81 Webster Elementary  
111710895 301 Mission St UNIT 3H 94105 San Francisco CA   955178 783246 1203524 47 Webster Elementary  
111710897 301 Mission St UNIT 5A 94105 San Francisco CA   1615397 1373087 1890015 81 Webster Elementary  
111710898 301 Mission St UNIT 5H 94105 San Francisco CA   894175 795816 992534 41 Webster Elementary  
111710899 301 Mission St UNIT 6C 94105 San Francisco CA   1011311 839388 1203460 52 Webster Elementary  
111710901 301 Mission St UNIT 6J 94105 San Francisco CA 37.790542 -122.395927 1302875 1120472 1511335 70 Webster Elementary  
111710902 301 Mission St UNIT 7B 94105 San Francisco CA   771375 663382 871654 29 Webster Elementary  
111710904 301 Mission St UNIT 7F 94105 San Francisco CA   2337265 1752949 3155308 92 Webster Elementary  
111710905 301 Mission St UNIT 7G 94105 San Francisco CA   1329993 1130494 1542792 72 Webster Elementary  
111710907 301 Mission St UNIT 8D 94105 San Francisco CA   858009 746468 978130 37 Webster Elementary  
111710909 301 Mission St UNIT 8J 94105 San Francisco CA   1202632 1058316 1407079 64 Webster Elementary  
111710910 301 Mission St UNIT 9C 94105 San Francisco CA   1880967 1617632 2106683 87 Webster Elementary  
111710915 301 Mission St UNIT 10C 94105 San Francisco CA   1921352 1652363 2113487 87 Webster Elementary  
111710919 301 Mission St UNIT 10H 94105 San Francisco CA   776417 659954 869587 29 Webster Elementary  
111710922 301 Mission St UNIT 11D 94105 San Francisco CA   806693 677622 895429 32 Webster Elementary  
111710923 301 Mission St UNIT 11F 94105 San Francisco CA   1849885 1572402 2053372 86 Webster Elementary  
111710926 301 Mission St UNIT 12C 94105 San Francisco CA   1022855 848970 1206969 53 Webster Elementary  
111710927 301 Mission St UNIT 12F 94105 San Francisco CA   2337265 1752949 3155308 92 Webster Elementary  
111710929 301 Mission St UNIT 12J 94105 San Francisco CA   1202299 1058023 1394667 64 Webster Elementary  
111710933 301 Mission St UNIT 15H 94105 San Francisco CA   885812 797231 974393 40 Webster Elementary  
111710934 301 Mission St UNIT 15J 94105 San Francisco CA   1283683 1103967 1489072 70 Webster Elementary  
111710935 3010 Mission St # 16B 94110 San Francisco CA   498189 438406 562954 1 Alvarado Elementary Lick Middle 
111710936 301 Mission St UNIT 16C 94105 San Francisco CA 37.790542 -122.395927 1013366 841094 1195772 52 Webster Elementary  
111710937 301 Mission St UNIT 16G 94105 San Francisco CA   1331532 1118487 1544577 72 Webster Elementary  
111710940 301 Mission St UNIT 17B 94105 San Francisco CA   749720 652256 884670 26 Webster Elementary  
111710941 301 Mission St UNIT 17C 94105 San Francisco CA   1247550 935662 1559438 67 Webster Elementary  
111710943 301 Mission St UNIT 17H 94105 San Francisco CA   886162 797546 974778 40 Webster Elementary  
111710956 301 Mission St UNIT 20D 94105 San Francisco CA   806693 677622 895429 32 Webster Elementary  
111710957 301 Mission St UNIT 20E 94105 San Francisco CA   1163773 1024120 1349977 61 Webster Elementary  
111710959 301 Mission St UNIT 20H 94105 San Francisco CA   776052 659644 876939 29 Webster Elementary  
111710960 301 Mission St UNIT 20J 94105 San Francisco CA   1174297 1033381 1385670 62 Webster Elementary  
111710961 301 Mission St UNIT 21A 94105 San Francisco CA   1562581 1203187 1843846 79 Webster Elementary  
111710962 301 Mission St UNIT 21C 94105 San Francisco CA   1897201 1631593 2086921 87 Webster Elementary  
111710963 301 Mission St UNIT 21F 94105 San Francisco CA   2644005 1983004 3595847 95 Webster Elementary  
111710964 301 Mission St UNIT 21G 94105 San Francisco CA   1291170 1110406 1510669 70 Webster Elementary  
111710965 301 Mission St UNIT 21H 94105 San Francisco CA   775328 635769 876121 29 Webster Elementary  
111710972 301 Mission St UNIT 23B 94105 San Francisco CA   776287 667607 877204 29 Webster Elementary  
111710974 301 Mission St UNIT 23F 94105 San Francisco CA   2297277 1791876 3055378 92 Webster Elementary  
111710979 301 Mission St UNIT 24D 94105 San Francisco CA   911940 793388 1021373 43 Webster Elementary  
111710985 301 Mission St UNIT 25G 94105 San Francisco CA   1472840 1222457 1664309 77 Webster Elementary  
111710986 301 Mission St UNIT 25H 94105 San Francisco CA   886288 797659 974917 40 Webster Elementary  
111710988 301 Mission St UNIT 26B 94105 San Francisco CA   2201363 1915186 2553581 91 Webster Elementary  
111710991 301 Mission St UNIT 30E 94105 San Francisco CA   2265383 1857614 2559883 91 Webster Elementary  
111710992 301 Mission St UNIT 34F 94105 San Francisco CA   2049866 1721887 2336847 89 Webster Elementary  
111710994 301 Mission St UNIT 48F 94105 San Francisco CA   2204378 1851678 2512991 91 Webster Elementary  
111710998 301 Mission St UNIT 503 94105 San Francisco CA   1794393 1543178 1991776 86 Webster Elementary  
111711004 301 Mission St UNIT 905 94105 San Francisco CA   2218095 1818838 2506447 91 Webster Elementary  
111711014 645 Howard St # 3D 94105 San Francisco CA   858167 763769 952565 37 Webster Elementary  
111711015 1 Hawthorne St UNIT 3E 94105 San Francisco CA   807641 726877 888405 32 Webster Elementary  
111711017 1 Hawthorne St UNIT 3G 94105 San Francisco CA   804311 699751 876699 32 Webster Elementary  
111711020 1 Hawthorne St UNIT 4B 94105 San Francisco CA   559539 470013 626684 5 Webster Elementary  
111711025 1 Hawthorne St UNIT 4G 94105 San Francisco CA   801555 689337 881710 32 Webster Elementary  
111711030 1 Hawthorne St UNIT 5F 94105 San Francisco CA   569394 483985 637721 6 Webster Elementary  
111711047 1 Hawthorne St UNIT 7J 94105 San Francisco CA   1187875 1057209 1366056 63 Webster Elementary  
111711063 1 Hawthorne St UNIT 11G 94105 San Francisco CA   851753 749543 928411 37 Webster Elementary  
111711072 1 Hawthorne St UNIT 18G 94105 San Francisco CA   897839 772142 996601 41 Webster Elementary  
111711073 1 Hawthorne St UNIT 20F 94105 San Francisco CA   1354220 1205256 1530269 72 Webster Elementary  
111711081 766 Harrison St UNIT 214 94107 San Francisco CA   729782 357593 977908 29 Webster Elementary  
111711086 766 Harrison St UNIT 801 94107 San Francisco CA   358433 322590 405029 1 Webster Elementary  
111711090 829 Folsom St UNIT 210 94107 San Francisco CA 37.781154 -122.401649 854773 700914 1025728 46 Webster Elementary  
111711107 601 Alabama St UNIT 301 94110 San Francisco CA   899833 791853 989816 34 Moscone Elementary Hoover Middle 
111711122 2125 Bryant St APT 2 94110 San Francisco CA   920886 791962 1031392 38 Moscone Elementary Hoover Middle 
111711126 2125 Bryant St APT 7 94110 San Francisco CA 37.759848 -122.409461 1168424 1016529 1355372 75 Moscone Elementary Hoover Middle 
111711131 2125 Bryant St APT 105 94110 San Francisco CA   1005088 884477 1145800 52 Moscone Elementary Hoover Middle 
111711133 2125 Bryant St APT 107 94110 San Francisco CA   1109653 921012 1253908 68 Moscone Elementary Hoover Middle 
111711135 2125 Bryant St APT 109 94110 San Francisco CA   1253431 1090485 1403843 82 Moscone Elementary Hoover Middle 
111711139 2125 Bryant St APT 113 94110 San Francisco CA   1005508 864737 1136224 52 Moscone Elementary Hoover Middle 
111711148 2125 Bryant St APT 202 94110 San Francisco CA   512547 451041 563802 1 Moscone Elementary Hoover Middle 
111711151 2125 Bryant St APT 301 94110 San Francisco CA 37.760113 -122.409928 1167173 1015441 1295562 75 Moscone Elementary Hoover Middle 
111711155 2125 Bryant St APT 305 94110 San Francisco CA   1296561 1166905 1465114 85 Moscone Elementary Hoover Middle 
111711159 2125 Bryant St APT 310 94110 San Francisco CA 37.760113 -122.409928 1286296 1157666 1453514 84 Moscone Elementary Hoover Middle 
111711161 2125 Bryant St APT 312 94110 San Francisco CA   1010491 848812 1202484 53 Moscone Elementary Hoover Middle 
111711166 2125 Bryant St APT 317 94110 San Francisco CA   801033 656847 913178 19 Moscone Elementary Hoover Middle 
111711172 2101 Bryant St APT 102 94110 San Francisco CA   597092 549325 680685 2 Moscone Elementary Hoover Middle 
111711199 871 Indiana St # 107 94107 San Francisco CA   983417 835904 1170266 59 Webster Elementary  
111711204 868 Minnesota St UNIT 112 94107 San Francisco CA   694583 618179 743204 25 Webster Elementary  
111711209 875 Indiana St UNIT 120 94107 San Francisco CA   702990 632691 766259 26 Webster Elementary  
111711210 875 Indiana St UNIT 121 94107 San Francisco CA   694584 618180 743205 25 Webster Elementary  
111711215 875 Indiana St UNIT 220 94107 San Francisco CA   704416 633974 760769 26 Webster Elementary  
111711220 851 Indiana St UNIT 303 94107 San Francisco CA   751367 668717 841531 32 Webster Elementary  
111711230 868 Minnesota St UNIT 313 94107 San Francisco CA   705362 627772 754737 26 Webster Elementary  
111711241 868 Minnesota St UNIT 412 94107 San Francisco CA   696322 619727 745065 25 Webster Elementary  
111711242 875 Indiana St UNIT 424 94107 San Francisco CA   706059 635453 762544 27 Webster Elementary  
111711243 875 Indiana St UNIT 425 94107 San Francisco CA   696265 619676 745004 25 Webster Elementary  
111711246 851 Indiana St UNIT 502 94107 San Francisco CA   1071023 867529 1242387 66 Webster Elementary  
111711247 851 Indiana St UNIT 503 94107 San Francisco CA   1085459 922640 1248278 67 Webster Elementary  
111711248 851 Indiana St UNIT 504 94107 San Francisco CA   1085113 922346 1247880 67 Webster Elementary  
111711250 851 Indiana St UNIT 506 94107 San Francisco CA   1079936 863949 1252726 67 Webster Elementary  
111711256 875 Indiana St UNIT 515 94107 San Francisco CA   1110366 943811 1254714 70 Webster Elementary  
111711273 111 W Crystal Cove Ter 94134 San Francisco CA   671486 590908 792353 73 Harte Elementary Lick Middle 
111711276 112 Otter Cove Ter 94134 San Francisco CA   667988 574470 781546 72 Harte Elementary Lick Middle 
111711277 108 Otter Cove Ter 94134 San Francisco CA   797487 637990 909135 93 Harte Elementary Lick Middle 
111711278 219 E Crystal Cove Ter 94134 San Francisco CA   678521 624239 739588 75 Harte Elementary Lick Middle 
111711279 223 E Crystal Cove Ter 94134 San Francisco CA   823181 642081 1012513 95 Harte Elementary Lick Middle 
111711300 555 Bartlett St APT 207 94110 San Francisco CA   845000 752050 946400 26 Alvarado Elementary Lick Middle 
111711302 555 Bartlett St APT 213 94110 San Francisco CA   841694 749108 942697 25 Alvarado Elementary Lick Middle 
111712051 678 Waller St 94117 San Francisco CA   810868 705455 932498 14 Mckinley Elementary Everett Middle 
111717771 16 Jessie St APT 111 94105 San Francisco CA   882305 732313 961712 40 Webster Elementary  
111717791 286 San Jose Ave 94110 San Francisco CA 37.750706 -122.421702 932984 802366 1044942 40 Chavez Elementary Everett Middle 
111747514 609 Central Ave 94117 San Francisco CA   1083583 921046 1278628 35 New Traditions Elementary Roosevelt Middle 
111907720 301 Mission St UNIT 21D 94105 San Francisco CA   807909 678644 896779 32 Webster Elementary  
111907721 301 Mission St UNIT 24B 94105 San Francisco CA   769780 662011 869851 29 Webster Elementary  
111907722 301 Mission St UNIT 24E 94105 San Francisco CA   1290915 1110187 1432916 70 Webster Elementary  
111910014 77 Grattan St 94117 San Francisco CA   1122889 931998 1313780 38 Grattan Elementary Giannini Middle 
111910164 301 Mission St UNIT 18E 94105 San Francisco CA   1286962 1106787 1415658 70 Webster Elementary  
111920448 723 Taylor St # 601 94108 San Francisco CA 37.789192 -122.412231 622254 535138 684479 31 Redding Elementary Marina Middle 
111920483 440 Fair Oaks St 94110 San Francisco CA   619457 569900 693792 3 Alvarado Elementary Lick Middle 
111920546 766 Harrison St UNIT 804 94107 San Francisco CA   358067 318680 411777 1 Webster Elementary  
111920606 889 Hayes St 94117 San Francisco CA   769621 677266 869672 12 Muir Elementary Lick Middle 
111920625 766 Harrison St UNIT 814 94107 San Francisco CA   359802 320224 417370 1 Webster Elementary  
111920650 77 Bluxome St UNIT 212 94107 San Francisco CA   410130 332205 447042 3 Webster Elementary  
111920671 301 Mission St UNIT 3D 94105 San Francisco CA   998128 768559 1227697 51 Webster Elementary  
111920815 301 Mission St UNIT 8E 94105 San Francisco CA   1285125 1105207 1413637 70 Webster Elementary  
111920866 77 Bluxome St UNIT 304 94107 San Francisco CA   407493 338219 448242 3 Webster Elementary  
111920892 766 Harrison St UNIT 809 94107 San Francisco CA   353527 314639 399486 1 Webster Elementary  
111920906 301 Mission St UNIT 25C 94105 San Francisco CA   1126697 935159 1273168 59 Webster Elementary  
111920922 3444 Scott St # A 94123 San Francisco CA   518528 414822 591122 0 Sherman Elementary Marina Middle 
111920954 818 Van Ness Ave APT 804 94109 San Francisco CA   675047 614293 749302 26 Tenderloin Elementary Francisco Middle 
111921046 829 Folsom St UNIT 204 94107 San Francisco CA   638967 575070 709253 16 Webster Elementary  
111921090 77 Bluxome St UNIT 515 94107 San Francisco CA   397555 333946 425384 2 Webster Elementary  
111921247 21 Delmar St 94117 San Francisco CA 37.76866 -122.446026 818012 736211 957074 15 Mckinley Elementary Everett Middle 
111921275 77 Bluxome St UNIT 112 94107 San Francisco CA   420372 348909 462409 3 Webster Elementary  
111921281 77 Bluxome St UNIT 511 94107 San Francisco CA   403573 326894 443930 3 Webster Elementary  
111921368 77 Bluxome St UNIT 619 94107 San Francisco CA   423474 343014 465821 3 Webster Elementary  
111921441 829 Folsom St UNIT 314 94107 San Francisco CA   865671 761790 934925 47 Webster Elementary  
111921464 77 Bluxome St UNIT 205 94107 San Francisco CA   402473 330028 442720 2 Webster Elementary  
111921488 77 Bluxome St UNIT 416 94107 San Francisco CA   394758 327649 434234 2 Webster Elementary  
111921510 301 Mission St UNIT 5C 94105 San Francisco CA   1001364 841146 1231678 51 Webster Elementary  
111921523 301 Mission St UNIT 17D 94105 San Francisco CA   892734 803461 990935 41 Webster Elementary  
111921626 301 Mission St UNIT 4F 94105 San Francisco CA   2344588 1805333 3212086 92 Webster Elementary  
111921680 766 Harrison St UNIT 502 94107 San Francisco CA   352339 320628 384050 1 Webster Elementary  
111921706 1207-1209 Guerrero St 94110 San Francisco CA   1091259 829357 1353161 66 Chavez Elementary Everett Middle 
111921788 129 Pixley St 94123 San Francisco CA 37.798499 -122.434644 874040 760415 961444 10 Sherman Elementary Marina Middle 
111921798 1518 Mcallister St 94115 San Francisco CA   1010963 869428 1182827 40 Parks Elementary Presidio Middle 
111921808 301 Mission St UNIT 16D 94105 San Francisco CA   891137 802023 989162 41 Webster Elementary  
111921833 2724 Baker St 94123 San Francisco CA   1617823 1326615 1876675 36 Cobb Elementary Roosevelt Middle 
111921854 766 Harrison St UNIT 808 94107 San Francisco CA   379366 330048 436271 1 Webster Elementary  
111921869 77 Bluxome St UNIT 507 94107 San Francisco CA   407694 322078 456617 3 Webster Elementary  
111921888 155 Ames St 94110 San Francisco CA   1434268 1219128 1692436 91 Milk Elementary Everett Middle 
111921893 77 Bluxome St UNIT 219 94107 San Francisco CA   397392 329835 437131 2 Webster Elementary  
111921946 77 Bluxome St UNIT 203 94107 San Francisco CA   396114 328775 435725 2 Webster Elementary  
111922059 766 Harrison St UNIT 314 94107 San Francisco CA   353589 314694 392484 1 Webster Elementary  
111922071 77 Bluxome St UNIT 605 94107 San Francisco CA   399919 327934 439911 2 Webster Elementary  
111922115 77 Bluxome St UNIT 315 94107 San Francisco CA   397806 330179 437587 2 Webster Elementary  
111922139 1055 Mississippi St 94107 San Francisco CA   940826 752661 1063133 55 King Elementary Aptos Middle 
111922152 829 Folsom St UNIT 508 94107 San Francisco CA   472436 420468 524404 5 Webster Elementary  
111922214 829 Folsom St UNIT 616 94107 San Francisco CA   856118 753384 950291 46 Webster Elementary  
111922225 766 Harrison St UNIT 311 94107 San Francisco CA   354893 319404 401029 1 Webster Elementary  
111922349 301 Mission St UNIT 15D 94105 San Francisco CA   891137 802023 989162 41 Webster Elementary  
111922366 301 Mission St UNIT 18F 94105 San Francisco CA   2384165 2026540 3170939 93 Webster Elementary  
111922405 766 Harrison St UNIT 213 94107 San Francisco CA   453302 312778 571161 4 Webster Elementary  
111922444 301 Mission St UNIT 6D 94105 San Francisco CA   1000886 840744 1231090 51 Webster Elementary  
111922460 301 Mission St UNIT 12E 94105 San Francisco CA   1309291 1125990 1440220 71 Webster Elementary  
111922477 1000 Pennsylvania Ave APT 1 94107 San Francisco CA   719571 633222 798724 28 King Elementary Aptos Middle 
111922542 77 Bluxome St UNIT 210 94107 San Francisco CA   409015 335392 449916 3 Webster Elementary  
111922559 301 Mission St UNIT 15C 94105 San Francisco CA   1000951 840799 1231170 51 Webster Elementary  
111922562 766 Harrison St UNIT 709 94107 San Francisco CA   351531 316378 379653 1 Webster Elementary  
111922564 77 Bluxome St UNIT 610 94107 San Francisco CA   400125 324101 448140 2 Webster Elementary  
111922567 1395 Clayton St 94114 San Francisco CA   3355708 2852352 3926178 98 Clarendon Elementary Presidio Middle 
111922628 301 Mission St UNIT 10J 94105 San Francisco CA   1277332 1111279 1417839 69 Webster Elementary  
111922741 1076 Hampshire St 94110 San Francisco CA   1503718 1233049 1699201 93 Bryant Elementary  
111922763 301 Mission St UNIT 17F 94105 San Francisco CA   2384204 2026573 3170991 93 Webster Elementary  
111922792 2907 Octavia St 94123 San Francisco CA 37.799147 -122.429347 635130 546212 736751 1 Sherman Elementary Marina Middle 
111922941 3444 Scott St 94123 San Francisco CA 37.801833 -122.441221 1961269 1510177 2471199 49 Sherman Elementary Marina Middle 
111922958 301 Mission St UNIT 8C 94105 San Francisco CA   1000944 840793 1231161 51 Webster Elementary  
111922991 77 Bluxome St UNIT 402 94107 San Francisco CA   390536 328050 417874 1 Webster Elementary  
111923025 77 Bluxome St UNIT 109 94107 San Francisco CA   406007 324806 450668 3 Webster Elementary  
111923038 77 Bluxome St UNIT 217 94107 San Francisco CA   406059 320787 454786 3 Webster Elementary  
111923110 2546 Hyde St 94109 San Francisco CA   1291325 1033060 1485024 69 Yick Wo Elementary Francisco Middle 
111923123 77 Bluxome St UNIT 206 94107 San Francisco CA   410559 324342 459826 3 Webster Elementary  
111923243 301 Mission St UNIT 24F 94105 San Francisco CA   2332805 1889572 3125959 92 Webster Elementary  
111923278 77 Bluxome St UNIT 202 94107 San Francisco CA   395966 324692 431603 2 Webster Elementary  
111923330 301 Mission St UNIT 12D 94105 San Francisco CA   859753 739388 971521 37 Webster Elementary  
111923343 766 Harrison St UNIT 408 94107 San Francisco CA   345228 310705 379751 0 Webster Elementary  
111923395 2550 Hyde St 94109 San Francisco CA   1288166 1030533 1481391 69 Yick Wo Elementary Francisco Middle 
111923424 77 Bluxome St UNIT 207 94107 San Francisco CA   410975 324670 452072 3 Webster Elementary  
111923425 77 Bluxome St UNIT 314 94107 San Francisco CA   411180 324832 452298 3 Webster Elementary  
111923435 723 Taylor St # 602 94108 San Francisco CA   706636 621840 777300 38 Redding Elementary Marina Middle 
111923442 301 Mission St UNIT 14B 94105 San Francisco CA   794942 675701 890335 31 Webster Elementary  
111923457 1235 Hollister Ave 94124 San Francisco CA 37.720951 -122.395132 498913 434054 563772 38 Harte Elementary Lick Middle 
111923561 3446 Scott St 94123 San Francisco CA   1298185 1142403 1466949 24 Sherman Elementary Marina Middle 
111923717 77 Bluxome St UNIT 404 94107 San Francisco CA   396278 328911 435906 2 Webster Elementary  
111923828 301 Mission St UNIT 19F 94105 San Francisco CA   2622650 2255479 3356992 95 Webster Elementary  
111923851 766 Harrison St UNIT 313 94107 San Francisco CA   384434 342146 442099 1 Webster Elementary  
111923894 77 Bluxome St UNIT 615 94107 San Francisco CA   394430 319488 433873 2 Webster Elementary  
111923908 828 York St 94110 San Francisco CA   708218 623232 821533 8 Bryant Elementary  
111924005 301 Mission St UNIT 14F 94105 San Francisco CA 37.790542 -122.395927 2384251 2026613 3171054 93 Webster Elementary  
111924023 914 Divisadero St # A 94115 San Francisco CA   909769 800597 1037137 33 Parks Elementary Presidio Middle 
111924046 3565 Sacramento St 94118 San Francisco CA   1399197 1175325 1595085 51 Sutro Elementary Roosevelt Middle 
111924058 887 Hayes St 94117 San Francisco CA   674552 600351 762244 6 Muir Elementary Lick Middle 
111924059 77 Bluxome St UNIT 102 94107 San Francisco CA   399878 327900 439866 2 Webster Elementary  
111924083 301 Mission St UNIT 22E 94105 San Francisco CA   1284745 1104881 1413219 70 Webster Elementary  
111924124 272 Parnassus Ave 94117 San Francisco CA   854117 734541 948070 18 Grattan Elementary Giannini Middle 
111924175 1958 Vallejo St APT 9 94123 San Francisco CA   3041414 2615616 3558454 75 Sherman Elementary Marina Middle 
111924199 77 Bluxome St UNIT 317 94107 San Francisco CA   393972 323057 421550 2 Webster Elementary  
111924206 555 Bartlett St APT 203 94110 San Francisco CA   603442 531029 669821 3 Alvarado Elementary Lick Middle 
111924246 766 Harrison St UNIT 610 94107 San Francisco CA   392278 337359 443274 1 Webster Elementary  
111924257 766 Harrison St # 62 94107 San Francisco CA   352420 320702 384138 1 Webster Elementary  
111924258 3563 Sacramento St 94118 San Francisco CA   1344351 1142698 1519117 46 Sutro Elementary Roosevelt Middle 
111924263 77 Bluxome St UNIT 519 94107 San Francisco CA   452084 316459 551542 4 Webster Elementary  
111924284 900 Minnesota St UNIT 114 94107 San Francisco CA   837010 736569 954191 44 Webster Elementary  
111924320 2868 22nd St 94110 San Francisco CA   758896 622295 857552 14 Moscone Elementary Hoover Middle 
111924340 62 Schwerin St 94134 San Francisco CA   697090 627381 794683 81 Visitacion Valley Elementary Visitacion Valley Middle 
111924396 926 Shotwell St # 1 94110 San Francisco CA 37.753114 -122.415545 1090082 915669 1253594 65 Chavez Elementary Everett Middle 
111924461 77 Bluxome St UNIT 403 94107 San Francisco CA   403467 322774 447848 3 Webster Elementary  
111924462 1397 Clayton St 94114 San Francisco CA   3133668 2600944 3791738 98 Clarendon Elementary Presidio Middle 
111924542 601 Alabama St UNIT 306 94110 San Francisco CA   821086 714345 919616 22 Moscone Elementary Hoover Middle 
111924582 301 Mission St UNIT 5E 94105 San Francisco CA   1286950 1106777 1415645 70 Webster Elementary  
111924639 77 Bluxome St UNIT 405 94107 San Francisco CA   398709 334916 426619 2 Webster Elementary  
111924727 77 Bluxome St UNIT 310 94107 San Francisco CA   394587 327507 422208 2 Webster Elementary  
111924736 766 Harrison St UNIT 613 94107 San Francisco CA   351221 316099 400392 1 Webster Elementary  
111924763 511 Campbell Ave 94134 San Francisco CA 37.715122 -122.406563 704081 640714 774489 83 El Dorado Elementary Visitacion Valley Middle 
111924767 684 Arkansas St 94107 San Francisco CA   781135 687399 874871 37 King Elementary Aptos Middle 
111924891 652 Waller St 94117 San Francisco CA   1253788 1103333 1391705 47 Mckinley Elementary Everett Middle 
111924977 1518 25th St # IT2 94107 San Francisco CA   671329 631049 798882 21 King Elementary Aptos Middle 
111925023 301 Mission St UNIT 4H 94105 San Francisco CA   865983 753405 978561 38 Webster Elementary  
111925092 1211-1215 Dolores St 94110 San Francisco CA   999638 849692 1129591 51 Alvarado Elementary Lick Middle 
111925096 158 Funston Ave 94118 San Francisco CA   1801926 1513618 2090234 74 Sutro Elementary Roosevelt Middle 
111925243 3440 18th St 94110 San Francisco CA   569326 495314 631952 2 Sanchez Elementary Everett Middle 
111925284 818 Van Ness Ave APT 407 94109 San Francisco CA   733483 652800 792162 31 Tenderloin Elementary Francisco Middle 
111925515 301 Mission St UNIT 9A 94105 San Francisco CA   1568467 1207720 1866476 80 Webster Elementary  
